id,datetime,visitor_id,device_type,revenue,tax
1,2019-10-05 00:00:00,1016870803637,1,173.3314596961336,0.19
2,2019-10-11 00:00:00,48076008851343,4,353.7772363042588,0.07
3,2019-08-19 00:00:00,72300317870324,2,630.4589433271162,0.07
4,2019-10-14 00:00:00,84516511452821,3,722.6452986083799,0.19
5,2019-09-10 00:00:00,44780848857001,3,821.8234909674571,0.07
6,2019-09-20 00:00:00,54145933160851,2,72.67570043119541,0.07
7,2019-10-13 00:00:00,68564288760762,4,512.0134481572289,0.19
8,2019-10-22 00:00:00,74593067572606,2,210.7660707444564,0.07
9,2019-08-12 00:00:00,74912374801029,4,1081.0589760671926,0.07
10,2019-10-25 00:00:00,67206600864292,4,36.59748233959662,0.07
11,2019-10-28 00:00:00,72257448527137,4,415.24503494307163,0.19
12,2019-08-16 00:00:00,31161783828987,2,1096.4900078905862,0.07
13,2019-09-21 00:00:00,74019332491246,3,172.42644517824425,0.07
14,2019-10-19 00:00:00,97387717610795,4,680.3345850760237,0.07
15,2019-09-03 00:00:00,45101854301536,4,304.508936995088,0.19
16,2019-08-07 00:00:00,39618162285184,4,223.932727861446,0.19
17,2019-09-22 00:00:00,79503222532643,3,262.04741924104104,0.07
18,2019-11-01 00:00:00,47711898936813,4,1160.0322273927923,0.07
19,2019-10-27 00:00:00,27411965646696,3,153.64248377511558,0.07
20,2019-09-14 00:00:00,79047396341564,3,692.2406476246132,0.19
21,2019-10-19 00:00:00,11315178096070,3,454.7341037967879,0.19
22,2019-10-16 00:00:00,24012466194495,1,327.81142504905114,0.19
23,2019-09-19 00:00:00,17029684917498,1,785.1631755563449,0.07
24,2019-09-14 00:00:00,59005300724987,2,18.85446336390395,0.19
25,2019-10-23 00:00:00,96729202710375,2,513.8908295346527,0.07
26,2019-09-18 00:00:00,13585562094666,2,796.3319797750389,0.07
27,2019-09-07 00:00:00,51653737316798,2,643.342337974177,0.07
28,2019-09-26 00:00:00,6224970231388,3,914.4042689000487,0.19
29,2019-09-06 00:00:00,86017690185412,2,926.1838063853108,0.19
30,2019-09-05 00:00:00,30526682294845,2,152.34516849602548,0.07
31,2019-10-10 00:00:00,52164460431246,2,889.2185950112597,0.07
32,2019-09-12 00:00:00,2086917030708,1,624.2965261842793,0.19
33,2019-10-13 00:00:00,55711069540774,2,305.51344963995916,0.07
34,2019-08-07 00:00:00,69512920708889,4,202.51901867889856,0.19
35,2019-09-22 00:00:00,81079023380836,2,240.37997744006447,0.07
36,2019-10-15 00:00:00,43129968770844,2,1095.225429176895,0.19
37,2019-10-09 00:00:00,3979029989679,3,580.3555378104214,0.07
38,2019-08-11 00:00:00,25662618227295,2,272.57185994385924,0.07
39,2019-10-02 00:00:00,84878295639931,2,1110.0162603165277,0.07
40,2019-08-13 00:00:00,96481967263931,3,600.0537800450137,0.07
41,2019-09-01 00:00:00,5912788198719,1,5.159177339339682,0.19
42,2019-08-14 00:00:00,56713558605689,4,945.8484542501444,0.19
43,2019-08-11 00:00:00,32541817151812,1,336.5394908823005,0.07
44,2019-11-01 00:00:00,15363719371717,4,569.0808445866141,0.19
45,2019-09-14 00:00:00,47447038460279,1,993.983502272577,0.07
46,2019-09-07 00:00:00,98093108644448,4,566.9411006927976,0.07
47,2019-08-19 00:00:00,60505299592873,4,1126.305961120775,0.19
48,2019-09-22 00:00:00,18151304632325,4,952.801291865284,0.07
49,2019-10-31 00:00:00,49179450419439,2,741.3302795711635,0.07
50,2019-08-30 00:00:00,98117926509986,1,719.3169463328919,0.19
51,2019-09-17 00:00:00,65247762491065,3,1079.6471892211493,0.19
52,2019-08-12 00:00:00,54278578539092,3,497.92311047190105,0.19
53,2019-08-12 00:00:00,4174132061868,3,63.29633618868028,0.19
54,2019-09-07 00:00:00,39041927718356,4,447.4837046031366,0.07
55,2019-08-23 00:00:00,49834338770012,4,278.7821776953293,0.07
56,2019-08-06 00:00:00,83705422749370,3,290.36438409692465,0.07
57,2019-10-20 00:00:00,97378615648630,2,427.2664113942567,0.19
58,2019-10-12 00:00:00,51770556649116,1,533.3757657248497,0.19
59,2019-10-22 00:00:00,62376855740939,1,684.0505735164576,0.19
60,2019-10-31 00:00:00,63263969223132,1,1088.0440163945837,0.19
61,2019-10-11 00:00:00,15844317367520,3,1064.2435080679059,0.19
62,2019-09-06 00:00:00,96183215176895,2,319.6291708272581,0.07
63,2019-09-12 00:00:00,41359763290548,4,924.2907026429025,0.19
64,2019-10-23 00:00:00,26405162744862,1,516.5000878404193,0.19
65,2019-10-16 00:00:00,70337502894181,4,882.8198092192163,0.07
66,2019-10-21 00:00:00,41216233649883,2,921.9619802333735,0.19
67,2019-08-23 00:00:00,4876869989137,1,121.75619976639608,0.19
68,2019-11-02 00:00:00,17420819132113,2,799.5720555797154,0.19
69,2019-09-16 00:00:00,71533889310724,1,742.5782419577903,0.07
70,2019-09-21 00:00:00,69063018278676,2,759.6035794124474,0.07
71,2019-08-06 00:00:00,26405162744862,3,759.6074991752121,0.19
72,2019-09-29 00:00:00,72306775690261,1,306.82559181411983,0.07
73,2019-10-01 00:00:00,55748762270042,2,118.3674528010823,0.07
74,2019-08-19 00:00:00,55129633864856,4,1185.0596175882308,0.19
75,2019-08-27 00:00:00,71555221033864,3,647.447615969048,0.19
76,2019-10-30 00:00:00,5371803120594,3,111.0955792616703,0.19
77,2019-10-08 00:00:00,89169928347381,4,644.4395819141848,0.07
78,2019-09-09 00:00:00,98338420914387,2,526.5311560028821,0.07
79,2019-10-22 00:00:00,62306243600469,2,219.61255504845494,0.07
80,2019-10-26 00:00:00,20627283282981,4,56.766633071977715,0.07
81,2019-08-07 00:00:00,52720509537266,3,908.639664644044,0.07
82,2019-10-08 00:00:00,18631966576892,1,213.7003502719692,0.07
83,2019-08-11 00:00:00,83816064792318,4,427.9683361014726,0.07
84,2019-09-25 00:00:00,51299022059247,4,385.4220781769805,0.07
85,2019-09-23 00:00:00,90406081566701,1,515.0108439941225,0.07
86,2019-10-18 00:00:00,65998840166045,2,1149.6924525880117,0.07
87,2019-10-04 00:00:00,64865075758500,3,390.3080252480548,0.19
88,2019-09-08 00:00:00,71971062719432,3,230.16753574597715,0.19
89,2019-09-16 00:00:00,47093250236633,4,235.20005745231273,0.07
90,2019-09-12 00:00:00,80898667393819,3,892.4165575806917,0.07
91,2019-09-03 00:00:00,22505388009858,1,11.758209547036325,0.07
92,2019-10-04 00:00:00,38716489905123,1,31.831764662947048,0.07
93,2019-10-18 00:00:00,53802011890484,1,404.21042740522404,0.07
94,2019-09-30 00:00:00,21908695782659,2,625.8199593997454,0.19
95,2019-10-08 00:00:00,90056560307925,4,1022.8435560070991,0.19
96,2019-08-14 00:00:00,53508804122862,4,969.8306989909001,0.19
97,2019-10-03 00:00:00,16049318864052,2,474.54585774737,0.19
98,2019-09-11 00:00:00,57304043501325,2,1066.727995415938,0.19
99,2019-10-18 00:00:00,48585243503879,1,249.64696464270472,0.19
100,2019-08-15 00:00:00,91535585891862,2,208.7423880329221,0.19
101,2019-10-01 00:00:00,9281408126544,1,523.0307415300333,0.07
102,2019-10-23 00:00:00,66936803455365,4,589.6436933025052,0.19
103,2019-09-13 00:00:00,3620244770672,2,443.37688267547145,0.07
104,2019-09-06 00:00:00,24415201533027,4,896.8316993568569,0.07
105,2019-08-10 00:00:00,16017849869680,1,378.71758269877853,0.07
106,2019-09-11 00:00:00,16788677621254,4,275.1656947915004,0.19
107,2019-08-28 00:00:00,97387717610795,4,930.7866299693571,0.19
108,2019-08-19 00:00:00,80913862475882,1,912.4947383415412,0.07
109,2019-10-10 00:00:00,4018486171538,1,669.5812847479698,0.19
110,2019-08-07 00:00:00,33554454888315,4,972.1943100699917,0.07
111,2019-09-10 00:00:00,92135875173920,4,180.7419561900934,0.07
112,2019-09-02 00:00:00,14434468476221,3,882.4891861842679,0.19
113,2019-08-06 00:00:00,73892145464552,3,1134.5776013136203,0.19
114,2019-11-02 00:00:00,26065535427631,3,747.3738769732065,0.19
115,2019-10-03 00:00:00,20104247976544,2,80.71628550018356,0.07
116,2019-09-30 00:00:00,11071240449757,1,99.48081291756314,0.19
117,2019-10-26 00:00:00,34402063431352,3,211.87639140774027,0.07
118,2019-10-22 00:00:00,87979838607055,3,252.36226477673637,0.19
119,2019-08-30 00:00:00,24371325021137,1,1159.9604792946839,0.19
120,2019-09-09 00:00:00,94923739193007,3,666.4548419008182,0.19
