id,datetime,visitor_id,device_type,revenue,tax,device_name
1,2019-10-05,1016870803637,1,173.3314596961336,0.19,Desktop
22,2019-10-16,24012466194495,1,327.81142504905114,0.19,Desktop
23,2019-09-19,17029684917498,1,785.1631755563449,0.07,Desktop
32,2019-09-12,2086917030708,1,624.2965261842793,0.19,Desktop
41,2019-09-01,5912788198719,1,5.159177339339682,0.19,Desktop
43,2019-08-11,32541817151812,1,336.5394908823005,0.07,Desktop
45,2019-09-14,47447038460279,1,993.983502272577,0.07,Desktop
50,2019-08-30,98117926509986,1,719.3169463328919,0.19,Desktop
58,2019-10-12,51770556649116,1,533.3757657248497,0.19,Desktop
59,2019-10-22,62376855740939,1,684.0505735164576,0.19,Desktop
60,2019-10-31,63263969223132,1,1088.0440163945837,0.19,Desktop
64,2019-10-23,26405162744862,1,516.5000878404193,0.19,Desktop
67,2019-08-23,4876869989137,1,121.75619976639608,0.19,Desktop
69,2019-09-16,71533889310724,1,742.5782419577903,0.07,Desktop
72,2019-09-29,72306775690261,1,306.82559181411983,0.07,Desktop
82,2019-10-08,18631966576892,1,213.7003502719692,0.07,Desktop
85,2019-09-23,90406081566701,1,515.0108439941225,0.07,Desktop
91,2019-09-03,22505388009858,1,11.758209547036325,0.07,Desktop
92,2019-10-04,38716489905123,1,31.831764662947048,0.07,Desktop
93,2019-10-18,53802011890484,1,404.210427405224,0.07,Desktop
99,2019-10-18,48585243503879,1,249.64696464270472,0.19,Desktop
101,2019-10-01,9281408126544,1,523.0307415300333,0.07,Desktop
105,2019-08-10,16017849869680,1,378.7175826987785,0.07,Desktop
108,2019-08-19,80913862475882,1,912.4947383415412,0.07,Desktop
109,2019-10-10,4018486171538,1,669.5812847479698,0.19,Desktop
116,2019-09-30,11071240449757,1,99.48081291756314,0.19,Desktop
119,2019-08-30,24371325021137,1,1159.960479294684,0.19,Desktop
123,2019-08-26,70302616411659,1,1229.7147546200608,0.19,Desktop
124,2019-08-19,33473130421512,1,95.75952051189604,0.07,Desktop
140,2019-08-15,26379414989804,1,192.2000114946193,0.19,Desktop
149,2019-09-17,78033327432238,1,442.8574259025128,0.07,Desktop
152,2019-10-18,17074544653216,1,1016.0774629324264,0.07,Desktop
153,2019-10-26,46867499719996,1,845.7824629373506,0.19,Desktop
155,2019-08-06,29338400618673,1,274.1856615594939,0.19,Desktop
159,2019-08-11,72714931690865,1,874.2982203791586,0.19,Desktop
160,2019-10-24,99094913875672,1,406.8824180767544,0.19,Desktop
162,2019-10-21,12832092260284,1,110.00487099959804,0.19,Desktop
166,2019-11-03,48133977535357,1,739.1754726968761,0.07,Desktop
167,2019-09-14,86291335955461,1,534.0241521607774,0.07,Desktop
176,2019-09-28,92028604144104,1,115.35813456649625,0.19,Desktop
179,2019-10-13,72166646925123,1,390.714457111106,0.19,Desktop
187,2019-10-02,37199673053588,1,681.2812172113634,0.19,Desktop
188,2019-08-26,77897436341417,1,772.4060672921655,0.07,Desktop
190,2019-10-08,61217730502305,1,689.7931555103534,0.07,Desktop
194,2019-09-01,26726126683197,1,709.0786447808395,0.07,Desktop
195,2019-08-21,67272237547020,1,1028.6400886131107,0.19,Desktop
199,2019-08-09,77625437166605,1,1191.5301366359831,0.19,Desktop
204,2019-10-23,18382673212693,1,959.7684269128188,0.19,Desktop
205,2019-09-01,22399115224220,1,917.6137894330512,0.07,Desktop
208,2019-10-21,7382127522277,1,895.8054393988641,0.07,Desktop
211,2019-08-08,90315681642134,1,579.4639314008501,0.19,Desktop
219,2019-09-03,2086917030708,1,1051.6311214729335,0.07,Desktop
222,2019-10-03,15879709360611,1,1006.3847064134956,0.19,Desktop
227,2019-08-29,84614719586455,1,250.46344810768323,0.07,Desktop
231,2019-08-07,4058704125570,1,231.79321176440175,0.19,Desktop
235,2019-10-11,10827646079247,1,1199.5633192577277,0.07,Desktop
237,2019-10-05,13338811947619,1,923.8597752168644,0.07,Desktop
254,2019-08-21,40692451581985,1,526.9425904964049,0.19,Desktop
257,2019-10-01,80065136783836,1,911.6813426857476,0.07,Desktop
258,2019-10-03,52376183538822,1,557.6748264865837,0.19,Desktop
262,2019-08-30,59506003137877,1,845.5930274688293,0.07,Desktop
264,2019-09-07,2339074478104,1,773.7386370936007,0.19,Desktop
271,2019-08-31,44944277658386,1,694.2923393856505,0.07,Desktop
272,2019-10-18,2404178036246,1,248.87075245963888,0.07,Desktop
273,2019-08-18,96667340588795,1,589.6532429722843,0.07,Desktop
274,2019-09-13,88367278839508,1,198.2430732440204,0.07,Desktop
276,2019-10-02,60723483660888,1,631.1737302300969,0.19,Desktop
278,2019-11-01,54025513931879,1,565.2712364481921,0.19,Desktop
280,2019-11-02,97918556949769,1,139.49639975253615,0.07,Desktop
283,2019-09-22,11346661602529,1,50.53628270445609,0.19,Desktop
289,2019-09-08,35868083522548,1,620.3180606399145,0.07,Desktop
296,2019-08-27,62460955269333,1,662.8154941236455,0.19,Desktop
301,2019-08-21,45546484045065,1,649.7207714836368,0.07,Desktop
310,2019-09-18,22879843507858,1,714.2325949759226,0.07,Desktop
316,2019-09-22,28791890098995,1,23.557190251778717,0.07,Desktop
322,2019-10-17,75118531672639,1,541.2281304633976,0.19,Desktop
330,2019-10-23,72048741030221,1,424.8502398174745,0.19,Desktop
333,2019-09-01,70208224506060,1,640.2077885336963,0.19,Desktop
337,2019-09-04,9506441220753,1,69.90681274482247,0.19,Desktop
338,2019-10-22,36233404283876,1,1181.7755528176567,0.19,Desktop
339,2019-08-22,16644459031305,1,224.30119700729296,0.19,Desktop
341,2019-10-16,48518617231976,1,761.2520234183811,0.19,Desktop
342,2019-10-19,27394093850491,1,549.5404065791895,0.19,Desktop
348,2019-08-18,68488525727247,1,811.0444073882403,0.19,Desktop
355,2019-10-16,2144985475998,1,790.2150539348969,0.07,Desktop
356,2019-08-11,47283822084497,1,585.6067802688889,0.19,Desktop
360,2019-09-04,29937006135175,1,445.32836109403473,0.19,Desktop
364,2019-10-06,72252710728166,1,689.3512796749374,0.07,Desktop
375,2019-09-17,49025145767044,1,155.63625662094108,0.07,Desktop
378,2019-08-19,68400291707473,1,870.1111120704394,0.19,Desktop
383,2019-10-17,31381868671164,1,890.2811456831685,0.19,Desktop
384,2019-08-30,56506946116975,1,154.16385661752992,0.19,Desktop
387,2019-10-26,7286817259293,1,192.4200876505967,0.19,Desktop
388,2019-11-03,32230429966306,1,576.6632057683632,0.07,Desktop
391,2019-09-03,80530189808403,1,405.9974210261303,0.07,Desktop
399,2019-08-20,16349588535938,1,924.5989273661036,0.19,Desktop
405,2019-08-24,19782380024377,1,855.536949363928,0.07,Desktop
406,2019-09-20,74810646407685,1,615.9959337841615,0.19,Desktop
411,2019-09-02,98577061537531,1,435.5932523058601,0.19,Desktop
414,2019-09-30,96051679029213,1,1045.82417517914,0.07,Desktop
415,2019-09-12,84306248098237,1,1010.2055229510446,0.19,Desktop
419,2019-10-11,42037646763416,1,779.3932347751534,0.19,Desktop
421,2019-09-08,49331458456556,1,599.9854825014702,0.19,Desktop
424,2019-09-06,25032876366997,1,256.6788958926523,0.19,Desktop
425,2019-08-09,35271994616383,1,1034.3431958195065,0.07,Desktop
427,2019-08-30,62220033259830,1,832.0127312017327,0.19,Desktop
428,2019-08-30,1427510970926,1,743.0112181249021,0.19,Desktop
432,2019-08-28,2339074478104,1,318.700811475638,0.07,Desktop
434,2019-09-25,48214990627462,1,250.0349605818338,0.19,Desktop
435,2019-10-13,92702223286800,1,493.9366269377076,0.19,Desktop
438,2019-10-19,29971973566884,1,699.8995476006826,0.19,Desktop
443,2019-10-10,27102214517978,1,1084.6393821186546,0.19,Desktop
446,2019-09-25,76784059428101,1,693.8126320948232,0.19,Desktop
449,2019-08-25,72841262316600,1,504.9114972516932,0.07,Desktop
451,2019-10-19,30694419942062,1,150.60087398517575,0.19,Desktop
452,2019-10-17,15546067741721,1,186.777847628677,0.07,Desktop
455,2019-10-20,97793188545422,1,839.017047231957,0.07,Desktop
458,2019-10-02,76093463049416,1,772.5677207854826,0.19,Desktop
460,2019-10-04,66024291393316,1,74.02468643751045,0.07,Desktop
461,2019-09-08,36601051764534,1,102.66410130560745,0.19,Desktop
463,2019-09-13,18693399497947,1,234.5455564975257,0.19,Desktop
467,2019-10-12,17453990351929,1,388.50219118700846,0.07,Desktop
472,2019-08-09,4174132061868,1,214.38959447557357,0.07,Desktop
474,2019-10-17,1194277518740,1,767.0664995645659,0.19,Desktop
475,2019-10-10,30086095384819,1,694.6592346585725,0.19,Desktop
477,2019-09-08,59290175985594,1,288.5681949568235,0.19,Desktop
483,2019-10-11,55890948547820,1,991.8174037491572,0.19,Desktop
484,2019-10-04,57953731343902,1,142.2295812972765,0.19,Desktop
491,2019-10-11,42635580533952,1,790.2226762312946,0.07,Desktop
492,2019-11-03,75410374507673,1,139.58261826964446,0.07,Desktop
495,2019-10-11,44685877027054,1,899.5413477121261,0.07,Desktop
496,2019-10-24,72888074260219,1,379.1824979169087,0.07,Desktop
502,2019-10-05,51574987552699,1,363.7021860589733,0.19,Desktop
507,2019-08-24,24435138275836,1,726.3710647036461,0.19,Desktop
510,2019-09-10,3899243052080,1,23.208304310116446,0.19,Desktop
511,2019-09-17,55129633864856,1,575.9698631376125,0.07,Desktop
513,2019-09-21,62698730665045,1,485.65352687316965,0.19,Desktop
517,2019-10-26,60047137166722,1,990.35614585042,0.19,Desktop
523,2019-10-26,96117755401799,1,728.6060478419407,0.19,Desktop
525,2019-10-08,17556095599792,1,1201.3137723535076,0.19,Desktop
527,2019-08-26,11270538647630,1,1000.563599422132,0.07,Desktop
532,2019-09-03,95292461209382,1,434.8256644312821,0.07,Desktop
537,2019-10-16,52063408031614,1,84.33338654614252,0.19,Desktop
539,2019-09-12,33833018349232,1,317.7250778739588,0.19,Desktop
540,2019-08-30,347905891254,1,652.1730041395765,0.07,Desktop
546,2019-09-15,80637936229531,1,774.764132344624,0.19,Desktop
547,2019-09-25,85303600877374,1,1176.1287200499996,0.07,Desktop
548,2019-08-20,68478013903195,1,75.52654378886257,0.19,Desktop
557,2019-09-28,79815895274537,1,29.642515413874527,0.07,Desktop
558,2019-10-05,91794010580896,1,847.6541732566477,0.07,Desktop
563,2019-11-02,23919373273487,1,188.01671568006276,0.19,Desktop
575,2019-10-22,91931974797392,1,1070.9897521661676,0.19,Desktop
577,2019-08-06,41503770103285,1,1146.5222032634608,0.07,Desktop
